payment_id,order_id,paid_amount,currency,status,payment_date
214,803,207.4,USD,failed,2023/01/08
215,42,61.39,USD,PAID,2023-01-29
216,573,32.75,JPY,failed,2023-01-29
217,427,155.26,GBP,FAILED,2023-01-13
218,34,270.15,USD,,2023-01-12
219,621,274.26,USD,PENDING,2023/01/20
220,287,182.39,GBP,paid,2023-01-16
221,607,148.71,GBP,,2023/02/03
222,345,113.77,GBP,failed,2023/01/27
223,5837,52.91,USD,,2023/02/08
224,983,254.32,JPY,FAILED,2023-02-02
225,373,189.65,USD,,2023-01-30
226,959,118.93,JPY,FAILED,2023-01-19
227,489,invalid,GBP,,2023/01/06
228,55,260.76,GBP,failed,2023/01/07
229,604,299.22,GBP,paid,2023/01/18
230,347,invalid,JPY,failed,2023/01/05
231,453,106.5,EUR,FAILED,2023/02/01
232,869,26.88,USD,PAID,2023-01-02
233,182,,USD,FAILED,2023-01-29
234,399,44.19,GBP,paid,2023-02-04
235,100,152.87,EUR,PAID,2023-01-31
236,809,299.4,EUR,PAID,2023/02/09
237,908,169.32,USD,FAILED,2023-01-28
238,646,229.04,USD,,2023-01-10
239,544,264.55,GBP,PAID,2023-01-20
240,353,,JPY,FAILED,2023/01/14
241,8777,invalid,EUR,,2023-01-18
242,560,22.55,JPY,,2023/01/15
243,967,242.75,GBP,paid,2023-01-17
244,872,34.09,USD,PAID,2023/01/24
245,76,32.52,GBP,failed,2023/02/04
246,817,126.47,USD,failed,2023-02-05
247,243,77.69,GBP,,2023/01/11
248,590,137.63,EUR,PAID,2023-01-31
249,58,298.18,EUR,FAILED,2023-01-18
250,193,,USD,PENDING,2023/01/06
251,450,214.03,GBP,PENDING,2023-01-08
252,970,6.49,JPY,PENDING,2023-01-17
253,378,invalid,GBP,,2023/02/06
254,996,104.05,USD,paid,2023-01-10
255,158,,EUR,paid,2023-01-04
256,96,253.05,EUR,,2023-01-09
257,708,284.15,JPY,,2023/01/21
258,298,invalid,USD,PENDING,2023-01-18
259,6331,243.39,USD,,2023/02/08
260,800,186.68,USD,,2023-02-09
261,631,179.51,GBP,,2023-02-06
262,108,293.06,JPY,failed,2023-01-05
263,711,129.57,JPY,PAID,2023-01-28
264,51,131.9,JPY,failed,2023-02-04
265,564,169.22,GBP,FAILED,2023-02-03
266,828,,GBP,PENDING,2023-01-06
267,409,105.28,USD,failed,2023-02-05
268,7778,295.33,JPY,FAILED,2023-01-18
269,8173,186.37,JPY,paid,2023-01-29
270,713,90.67,EUR,FAILED,2023-01-07
271,780,207.48,EUR,failed,2023-01-25
272,98,192.35,GBP,paid,2023/01/02
273,300,54.67,GBP,,2023/01/04
274,456,204.69,EUR,PAID,2023-01-13
275,749,20.14,USD,failed,2023-01-26
276,756,171.16,EUR,FAILED,2023-01-23
277,729,54.6,USD,,2023-02-06
278,186,241.57,USD,paid,2023-01-26
279,902,invalid,JPY,FAILED,2023/01/02
280,248,294.91,USD,failed,2023/02/03
281,575,157.31,JPY,PAID,2023-01-18
282,500,136.55,USD,failed,2023-01-05
283,985,159.29,USD,PAID,2023-01-18
284,2,281.48,EUR,FAILED,2023-02-07
285,816,282.71,JPY,paid,2023-01-03
286,173,56.0,GBP,PENDING,2023/01/16
287,130,47.09,USD,FAILED,2023-01-26
288,837,,EUR,,2023-01-22
289,270,invalid,EUR,PAID,2023-02-02
290,63,13.65,JPY,PAID,2023-01-20
291,658,invalid,GBP,,2023-01-20
292,810,192.9,JPY,failed,2023-01-24
293,8931,205.55,GBP,paid,2023/01/29
294,175,122.59,GBP,FAILED,2023/01/22
295,983,298.9,JPY,PENDING,2023-01-09
296,558,274.8,JPY,paid,2023-01-06
297,27,,JPY,,2023-01-03
298,653,38.83,USD,PAID,2023/01/27
299,758,245.66,EUR,paid,2023/01/12
300,481,invalid,USD,paid,2023/01/13
301,825,,EUR,PENDING,2023/01/17
302,765,201.0,JPY,failed,2023/01/25
303,828,277.85,EUR,PENDING,2023-01-30
304,7015,invalid,JPY,PAID,2023-01-28
305,399,88.09,GBP,,2023-01-23
306,79,63.99,EUR,,2023/01/05
307,102,169.7,USD,FAILED,2023-01-28
308,612,150.91,EUR,failed,2023-01-15
309,474,219.53,EUR,PENDING,2023/02/01
310,305,42.82,EUR,PENDING,2023-01-29
311,432,239.13,GBP,failed,2023-02-06
312,121,237.08,GBP,paid,2023-01-20
313,619,17.4,USD,FAILED,2023-01-03
314,957,175.59,JPY,failed,2023-01-18
315,415,116.71,JPY,paid,2023-01-25
316,262,69.82,USD,paid,2023-02-07
317,979,invalid,EUR,PENDING,2023/01/10
318,719,212.01,GBP,,2023-01-19
319,6254,invalid,GBP,failed,2023/02/02
320,44,153.15,EUR,paid,2023/01/24
321,596,,USD,failed,2023-01-15
322,635,15.73,JPY,failed,2023-01-14
323,7223,,GBP,PAID,2023-02-07
324,981,271.35,GBP,PAID,2023-01-14
325,39,267.56,EUR,,2023-01-10
326,7775,5.76,EUR,PAID,2023-01-10
327,100,110.25,GBP,failed,2023-01-12
328,7844,104.73,EUR,paid,2023/01/03
329,7645,invalid,EUR,failed,2023-01-03
330,364,25.89,GBP,PENDING,2023/02/09
331,843,,JPY,PENDING,2023-01-05
332,559,invalid,GBP,paid,2023-02-05
333,119,9.27,USD,PENDING,2023-01-14
334,264,111.94,JPY,paid,2023/01/15
335,156,243.52,USD,,2023-01-12
336,683,42.8,USD,FAILED,2023-01-25
337,5929,81.07,JPY,PAID,2023-01-05
338,746,106.25,GBP,failed,2023/02/05
339,382,272.72,USD,paid,2023-01-19
340,871,67.28,EUR,paid,2023/02/09
341,359,invalid,USD,paid,2023-01-23
342,345,222.69,JPY,failed,2023/01/25
343,697,184.88,GBP,PAID,2023-01-31
344,8021,42.56,GBP,,2023-02-03
345,255,62.16,EUR,failed,2023-01-26
346,407,140.37,GBP,paid,2023/01/02
347,5342,110.78,EUR,failed,2023-01-15
348,456,224.86,EUR,failed,2023/02/02
349,427,243.32,USD,PENDING,2023/01/04
350,289,10.5,GBP,failed,2023/01/06
351,536,254.76,EUR,PENDING,2023-01-19
352,333,157.53,EUR,failed,2023-01-16
353,849,119.87,JPY,,2023-01-10
354,721,181.87,GBP,paid,2023-02-02
355,364,128.79,USD,FAILED,2023-01-08
356,556,118.73,EUR,paid,2023-02-08
357,949,57.09,JPY,PENDING,2023-01-21
358,855,151.16,GBP,failed,2023-01-06
359,8068,218.46,JPY,PENDING,2023-01-20
360,593,,GBP,PENDING,2023-01-03
361,6047,169.19,EUR,PAID,2023-02-07
362,7659,166.08,GBP,,2023-01-17
363,453,154.57,USD,PENDING,2023-01-24
364,1000,278.36,GBP,PAID,2023/01/11
365,489,193.33,GBP,paid,2023-01-24
366,762,256.43,EUR,paid,2023-01-02
367,5671,41.32,EUR,PENDING,2023-01-02
368,114,278.7,EUR,PENDING,2023/02/02
369,790,136.13,GBP,PAID,2023-02-09
370,699,212.13,GBP,FAILED,2023/01/17
371,580,230.79,USD,failed,2023-02-09
372,322,255.47,EUR,failed,2023-01-29
373,6494,88.62,GBP,PENDING,2023/01/19
374,330,218.91,JPY,FAILED,2023/02/06
375,673,123.63,EUR,FAILED,2023-01-24
376,467,,JPY,,2023/01/14
377,7565,,USD,failed,2023-01-23
378,850,44.11,GBP,,2023-01-08
379,73,192.42,JPY,PENDING,2023-02-05
380,290,invalid,USD,FAILED,2023-01-27
381,529,42.6,JPY,PAID,2023-01-30
382,930,290.35,USD,failed,2023-02-10
383,334,193.42,JPY,,2023-01-08
384,908,invalid,GBP,PAID,2023-01-01
385,965,160.8,USD,FAILED,2023/01/24
386,7409,171.9,GBP,PENDING,2023-01-01
387,619,284.83,GBP,PAID,2023-01-31
388,5711,89.93,JPY,PAID,2023-01-07
389,641,81.77,USD,FAILED,2023-01-29
390,189,,GBP,failed,2023/01/05
391,916,72.37,GBP,FAILED,2023/01/08
392,636,243.76,GBP,FAILED,2023-01-10
393,211,21.16,JPY,PAID,2023-01-31
394,880,231.35,JPY,paid,2023-01-01
395,64,invalid,USD,PENDING,2023-01-04
396,364,,EUR,FAILED,2023-02-05
397,7857,218.92,USD,paid,2023/02/09
398,529,246.11,GBP,FAILED,2023-01-07
399,885,271.16,GBP,FAILED,2023/01/10
400,69,91.59,USD,FAILED,2023-01-27
401,895,210.21,GBP,,2023-01-12
402,870,186.83,GBP,paid,2023-01-02
403,929,227.85,GBP,paid,2023-01-04
404,900,,GBP,paid,2023-02-06
405,579,77.02,GBP,PENDING,2023/02/08
406,475,102.02,GBP,PENDING,2023-02-08
407,8299,22.21,JPY,PAID,2023-01-20
408,943,204.16,EUR,failed,2023/01/28
409,5312,251.35,USD,PAID,2023/02/02
410,560,210.05,EUR,paid,2023/02/03
411,6166,194.81,GBP,,2023/01/17
412,236,44.57,JPY,paid,2023/01/09
413,712,,GBP,PAID,2023/01/06
414,744,123.59,EUR,PAID,2023-01-27
415,8299,260.63,USD,PAID,2023-02-04
416,534,194.44,GBP,,2023-01-07
417,456,113.77,JPY,failed,2023/01/13
418,578,169.77,USD,,2023/02/01
419,883,26.28,USD,FAILED,2023-01-29
420,91,,EUR,PENDING,2023-01-13
421,327,66.48,GBP,PAID,2023-01-23
422,589,150.99,JPY,paid,2023/01/09
423,638,158.91,USD,PAID,2023-02-03
424,8098,134.57,USD,PENDING,2023-02-06
425,549,141.63,USD,PENDING,2023-01-10
426,931,299.38,JPY,,2023/01/16
427,278,270.36,JPY,PAID,2023-01-12
428,976,42.48,USD,PENDING,2023/01/30
429,413,245.79,JPY,FAILED,2023-02-08
430,535,145.89,GBP,FAILED,2023-02-03
431,8309,100.76,GBP,PENDING,2023-01-26
432,646,299.22,GBP,failed,2023-02-08
433,150,,USD,,2023/01/15
434,6138,invalid,GBP,FAILED,2023-01-20
435,355,225.68,GBP,PENDING,2023/01/27
436,8176,283.35,GBP,PAID,2023-01-26
437,7968,119.04,GBP,PAID,2023/02/01
438,5896,invalid,JPY,PENDING,2023/01/09
439,41,121.42,GBP,,2023/02/02
440,786,6.9,EUR,,2023-02-05
441,7039,,USD,paid,2023/01/10
442,489,invalid,JPY,paid,2023/01/10
443,434,279.56,EUR,PENDING,2023-02-09
444,714,23.3,GBP,,2023/01/03
445,569,24.89,GBP,,2023-01-25
446,509,287.94,EUR,paid,2023-01-05
447,328,invalid,USD,failed,2023-01-27
448,441,215.44,JPY,FAILED,2023-01-02
449,262,282.55,JPY,PAID,2023/01/16
450,568,,JPY,FAILED,2023-01-17
451,5074,290.66,EUR,paid,2023-01-10
452,401,77.5,EUR,PAID,2023-01-22
453,959,53.76,GBP,PAID,2023-01-18
454,29,invalid,USD,failed,2023-01-23
455,812,64.8,EUR,failed,2023-02-04
456,439,93.19,USD,,2023-01-05
457,573,invalid,EUR,paid,2023-01-20
458,662,,GBP,PAID,2023/01/19
459,847,289.42,USD,FAILED,2023/01/20
460,164,,USD,,2023-02-10
461,218,18.31,JPY,PAID,2023-01-16
462,819,235.81,GBP,paid,2023-01-15
463,377,208.67,GBP,,2023/01/07
464,316,invalid,EUR,PENDING,2023-02-08
465,198,93.18,USD,FAILED,2023-01-16
466,525,220.92,GBP,FAILED,2023-01-09
467,982,243.73,EUR,failed,2023-01-22
468,266,,EUR,paid,2023/01/13
469,541,74.38,EUR,,2023/01/14
470,827,36.83,USD,,2023-01-16
471,714,143.47,USD,failed,2023-01-12
472,5865,191.46,EUR,PAID,2023/01/08
473,31,200.48,USD,failed,2023-01-31
474,225,247.8,EUR,failed,2023/02/08
475,576,247.47,USD,FAILED,2023-01-02
476,523,198.86,USD,failed,2023/01/08
477,326,298.63,JPY,FAILED,2023/02/04
478,518,invalid,JPY,paid,2023-02-07
479,6670,57.62,GBP,paid,2023/01/17
480,672,218.08,JPY,PENDING,2023/02/02
481,970,232.89,USD,FAILED,2023/02/06
482,382,249.36,EUR,,2023-01-17
483,93,175.09,EUR,paid,2023-01-13
484,111,110.34,JPY,paid,2023-02-03
485,5221,163.94,GBP,PENDING,2023-01-18
486,581,197.32,EUR,paid,2023/01/13
487,456,,USD,PAID,2023-01-31
488,608,285.94,GBP,PENDING,2023-01-28
489,275,invalid,GBP,paid,2023/01/08
490,5476,,USD,FAILED,2023-01-11
491,348,128.25,JPY,PENDING,2023-02-03
492,183,241.78,GBP,PAID,2023-02-08
493,446,,GBP,failed,2023-02-02
494,674,217.37,USD,failed,2023-01-07
495,766,285.98,JPY,,2023-01-14
496,696,,USD,failed,2023-02-07
497,975,70.12,GBP,failed,2023-01-03
498,449,62.58,USD,failed,2023/01/30
499,809,,EUR,FAILED,2023-01-13
500,298,225.17,JPY,,2023-01-09
501,296,71.1,GBP,FAILED,2023/01/17
502,8663,41.09,GBP,FAILED,2023/01/25
503,942,,JPY,,2023-02-03
504,345,166.66,JPY,FAILED,2023-01-03
505,19,invalid,JPY,paid,2023/02/02
506,233,invalid,USD,PENDING,2023-02-06
507,741,27.0,EUR,paid,2023-01-06
508,811,62.1,USD,failed,2023-01-18
509,574,211.09,GBP,FAILED,2023/02/08
510,458,209.27,JPY,,2023-02-04
511,287,142.66,GBP,paid,2023-01-08
512,812,282.33,JPY,failed,2023/01/13
513,839,invalid,USD,FAILED,2023/01/16
514,106,102.81,GBP,FAILED,2023-01-15
515,606,282.2,GBP,,2023/01/07
516,940,127.03,EUR,paid,2023/01/18
517,578,14.65,EUR,FAILED,2023-02-02
518,348,152.79,USD,PAID,2023/01/19
519,1000,175.16,GBP,paid,2023-01-27
520,7340,199.56,JPY,,2023-01-29
521,580,163.56,EUR,paid,2023-02-10
522,721,158.12,USD,,2023-02-06
523,547,244.88,JPY,,2023-02-06
524,999,264.52,USD,FAILED,2023-01-26
525,520,invalid,GBP,,2023-01-10
526,268,263.08,GBP,paid,2023-01-13
527,149,102.04,GBP,PENDING,2023-01-25
528,534,262.44,USD,PENDING,2023-02-06
529,186,,EUR,failed,2023-02-06
530,818,260.35,USD,PENDING,2023-01-12
531,693,237.74,EUR,,2023-01-30
532,280,260.62,USD,,2023-02-06
533,325,267.42,EUR,,2023-01-30
534,181,invalid,EUR,PAID,2023-01-21
535,649,6.62,EUR,FAILED,2023-01-18
536,5691,29.8,EUR,paid,2023-02-04
537,6590,invalid,JPY,PENDING,2023-01-10
538,978,16.6,EUR,FAILED,2023/01/01
539,543,265.69,GBP,,2023/02/07
540,6570,invalid,GBP,PENDING,2023/02/01
541,5771,invalid,JPY,PENDING,2023-01-07
542,8640,55.19,USD,FAILED,2023-01-11
543,64,,EUR,FAILED,2023/01/12
544,739,69.1,EUR,,2023-02-04
545,520,60.05,EUR,PENDING,2023/01/03
546,6100,30.02,USD,PAID,2023-01-06
547,348,32.09,GBP,failed,2023-01-31
548,679,257.51,USD,PENDING,2023-01-16
549,729,207.87,USD,failed,2023-02-06
550,551,76.26,USD,failed,2023/01/07
551,944,133.33,JPY,PAID,2023-01-06
552,8785,,GBP,,2023-02-05
553,417,285.93,USD,,2023-01-02
554,181,231.17,EUR,,2023-02-06
555,134,212.37,USD,,2023-02-10
556,705,32.9,JPY,paid,2023-01-05
557,8348,96.66,GBP,,2023/01/02
558,7361,64.63,EUR,PENDING,2023-02-10
559,470,invalid,JPY,failed,2023-02-02
560,448,282.87,USD,,2023-01-09
561,7873,invalid,USD,FAILED,2023-01-26
562,400,80.42,USD,PAID,2023-01-21
563,134,82.26,USD,failed,2023-01-02
564,849,59.82,JPY,failed,2023/01/05
565,37,93.83,JPY,,2023-01-07
566,5507,33.09,EUR,FAILED,2023-01-18
567,197,11.17,EUR,paid,2023-02-08
568,202,invalid,EUR,PAID,2023-02-02
569,659,186.24,USD,FAILED,2023/01/17
570,828,186.75,GBP,PAID,2023-02-07
571,716,106.98,USD,PENDING,2023-01-19
572,652,212.85,EUR,,2023-01-02
573,375,58.86,EUR,PAID,2023-01-07
574,585,177.18,GBP,FAILED,2023-01-12
575,640,152.78,JPY,PENDING,2023-01-10
576,922,126.05,EUR,PAID,2023-01-18
577,663,238.36,GBP,paid,2023-02-04
578,292,,JPY,FAILED,2023-02-04
579,687,invalid,GBP,,2023-02-06
580,169,153.66,GBP,paid,2023/01/11
581,5342,113.91,GBP,paid,2023-01-15
582,228,,GBP,,2023/01/13
583,894,,GBP,paid,2023/01/19
584,645,102.21,JPY,failed,2023-01-19
585,400,299.27,GBP,failed,2023-01-10
586,696,48.86,JPY,paid,2023-01-17
587,126,276.5,GBP,paid,2023-01-26
588,412,76.87,GBP,PENDING,2023-02-02
589,87,,JPY,paid,2023-02-06
590,907,177.47,JPY,FAILED,2023-01-15
591,616,98.09,GBP,paid,2023-01-12
592,509,136.96,GBP,PAID,2023-02-01
593,254,39.15,JPY,failed,2023-01-28
594,47,299.44,USD,FAILED,2023-01-22
595,799,223.17,GBP,PENDING,2023-02-09
596,933,120.86,GBP,paid,2023-01-20
597,386,,GBP,paid,2023-01-26
598,27,264.33,EUR,PENDING,2023-01-09
599,183,invalid,EUR,PAID,2023/01/30
600,971,139.83,USD,paid,2023-01-03
601,510,278.49,EUR,paid,2023-01-24
602,966,126.32,JPY,,2023-01-08
603,5640,215.45,EUR,FAILED,2023-01-17
604,262,137.33,GBP,,2023-01-17
605,6763,59.24,USD,PENDING,2023-02-03
606,7438,195.37,USD,failed,2023/01/16
607,18,invalid,EUR,,2023-01-08
608,993,248.29,USD,failed,2023/01/22
609,557,invalid,JPY,,2023-01-12
610,974,173.74,USD,PAID,2023/01/13
611,933,160.74,EUR,failed,2023-01-02
612,6214,invalid,JPY,PAID,2023-01-26
613,692,,USD,paid,2023-01-13
614,199,190.68,USD,PENDING,2023-02-02
615,940,,JPY,PENDING,2023-02-07
616,369,235.7,USD,FAILED,2023-01-20
617,471,,EUR,failed,2023-02-08
618,7326,87.98,GBP,,2023-01-18
619,928,11.87,JPY,FAILED,2023-01-04
620,615,231.08,GBP,,2023-01-29
621,303,130.26,JPY,FAILED,2023-01-04
622,8754,,EUR,paid,2023-02-09
623,92,227.49,EUR,failed,2023-01-23
624,404,136.98,USD,PAID,2023-01-22
625,249,255.37,EUR,failed,2023/01/12
626,189,245.39,EUR,PENDING,2023/01/29
627,17,96.48,EUR,PAID,2023-01-15
628,390,138.0,EUR,,2023-02-02
629,6033,207.84,EUR,PAID,2023-01-04
630,719,,USD,PAID,2023-02-06
631,447,195.09,GBP,failed,2023/01/15
632,955,invalid,USD,PENDING,2023/01/28
633,418,invalid,USD,FAILED,2023/01/11
